mod,name,display_name,answered_qs,positive_qs,final_candidate_count,final_candidates
TOHK,TOHK_Powerful,パワフル,60,2,216,TOHK_BountyHunter|TOHK_Mare|TOHK_FireWorks|TOHK_SerialKiller|TOHK_ShapeMaster|TOHK_Vampire|TOHK_Warlock|TOHK_Witch|TOHK_Mafia|TOHK_Puppeteer|TOHK_TimeThief|TOHK_Sniper|TOHK_EvilTracker|TOHK_Stealth|TOHK_NekoKabocha|TOHK_EvilHacker|TOHK_Penguin|TOHK_Insider|TOHK_TeleportKiller|TOHK_Bomber|TOHK_AntiReporter|TOHK_Tairou|TOHK_Evilgambler|TOHK_Notifier|TOHK_Magician|TOHK_Limiter|TOHK_Decrescendo|TOHK_Alien|TOHK_AlienHijack|TOHK_Mole|TOHK_SpeedStar|TOHK_EvilTeller|TOHK_ProgressKiller|TOHK_EvilAddoer|TOHK_ConnectSaver|TOHK_Reloader|TOHK_Jumper|TOHK_EarnestWolf|TOHK_Amnesiac|TOHK_Camouflager|TOHK_EvilSatellite|TOHK_Curser|TOHK_ProBowler|TOHK_Eraser|TOHK_EvilMaker|TOHK_UnFortuner|TOHK_QuickKiller|TOHK_BorderKiller|TOHK_Ballooner|TOHK_ShapeKiller|TOHK_CharismaStar|TOHK_Archer|TOHK_EvilBlender|TOHK_Driver|TOHK_Assassin|TOHK_LastImpostor|TOHK_Bait|TOHK_Lighter|TOHK_Mayor|TOHK_SabotageMaster|TOHK_Sheriff|TOHK_Snitch|TOHK_SpeedBooster|TOHK_Doctor|TOHK_Trapper|TOHK_Dictator|TOHK_Seer|TOHK_TimeManager|TOHK_VentMaster|TOHK_Bakery|TOHK_FortuneTeller|TOHK_ToiletFan|TOHK_TaskStar|TOHK_PonkotuTeller|TOHK_UltraStar|TOHK_MeetingSheriff|TOHK_GuardMaster|TOHK_Shyboy|TOHK_Balancer|TOHK_ShrineMaiden|TOHK_Comebacker|TOHK_WhiteHacker|TOHK_Fortuner|TOHK_WolfBoy|TOHK_NiceAddoer|TOHK_InSender|TOHK_Staff|TOHK_SwitchSheriff|TOHK_NiceLogger|TOHK_Android|TOHK_Psychic|TOHK_Efficient|TOHK_King|TOHK_AmateurTeller|TOHK_Gasp|TOHK_Cakeshop|TOHK_Stolener|TOHK_Snowman|TOHK_VentOpener|TOHK_VentHunter|TOHK_Satellite|TOHK_Walker|TOHK_AllArounder|TOHK_Inspector|TOHK_CandleLighter|TOHK_Express|TOHK_Observer|TOHK_Analyzer|TOHK_Braid|TOHK_DriverandBraid|TOHK_Merlin|TOHK_AssassinandMerlin|TOHK_Ghostbuttoner|TOHK_GhostNoiseSender|TOHK_GhostReseter|TOHK_GhostRumour|TOHK_Madmate|TOHK_MadGuardian|TOHK_MadSnitch|TOHK_SKMadmate|TOHK_MadJester|TOHK_MadTeller|TOHK_MadBait|TOHK_MadReduced|TOHK_MadAvenger|TOHK_MadWorker|TOHK_MadTracker|TOHK_MadChanger|TOHK_MadSuicide|TOHK_MadBetrayer|TOHK_MadHacker|TOHK_Nue|TOHK_Betrayer|TOHK_Arsonist|TOHK_Jester|TOHK_Terrorist|TOHK_Executioner|TOHK_SchrodingerCat|TOHK_Opportunist|TOHK_Egoist|TOHK_Lovers|TOHK_RedLovers|TOHK_YellowLovers|TOHK_BlueLovers|TOHK_GreenLovers|TOHK_WhiteLovers|TOHK_PurpleLovers|TOHK_OneLove|TOHK_PlagueDoctor|TOHK_Remotekiller|TOHK_Chef|TOHK_CountKiller|TOHK_GrimReaper|TOHK_Madonna|TOHK_MadonnaLovers|TOHK_Amanojaku|TOHK_Workaholic|TOHK_Monochromer|TOHK_DoppelGanger|TOHK_MassMedia|TOHK_Banker|TOHK_BakeCat|TOHK_PhantomThief|TOHK_CurseMaker|TOHK_Fox|TOHK_SantaClaus|TOHK_Vulture|TOHK_Turncoat|TOHK_Strawdoll|TOHK_Missioneer|TOHK_Fool|TOHK_LastNeutral|TOHK_AsistingAngel|TOHK_Jackal|TOHK_JackalMafia|TOHK_JackalWolf|TOHK_Jackaldoll|TOHK_JackalAlien|TOHK_Twins|TOHK_Faction|TOHK_Vega|TOHK_Altair|TOHK_GM|TOHK_OneWolf|TOHK_Workhorse|TOHK_Watching|TOHK_Speeding|TOHK_Moon|TOHK_Guesser|TOHK_Lighting|TOHK_Management|TOHK_Connecting|TOHK_Serial|TOHK_PlusVote|TOHK_Opener|TOHK_Seeing|TOHK_Revenger|TOHK_Autopsy|TOHK_Tiebreaker|TOHK_Guarding|TOHK_MagicHand|TOHK_AntiTeleporter|TOHK_Powerful|TOHK_Stack|TOHK_SlowStarter|TOHK_NonReport|TOHK_Notvoter|TOHK_Elector|TOHK_Water|TOHK_Slacker|TOHK_Clumsy|TOHK_Transparent|TOHK_Amnesia|TOHK_InfoPoor|TOHK_News|TOHK_Sunglasses
SNR,SNR_ModifierWolfPossessed,モディファイア狼憑き,60,2,148,SNR_Kani|SNR_Nuun|SNR_EvilGambler|SNR_EvilGuesser|SNR_EvilScientist|SNR_EvilSeer|SNR_EvilSpeedBooster|SNR_EvilDoor|SNR_EvilNekomata|SNR_EvilMechanic|SNR_EvilHacker|SNR_EvilButtoner|SNR_Camouflager|SNR_SideKiller|SNR_ShiftActor|SNR_SerialKiller|SNR_SuicideWisher|SNR_DarkKiller|SNR_DoubleKiller|SNR_DimensionWalker|SNR_Teleporter|SNR_Doppelganger|SNR_Necromancer|SNR_Revenant|SNR_NekoKabocha|SNR_Finder|SNR_Penguin|SNR_Banshee|SNR_RemoteControl|SNR_TriggerHappy|SNR_EvilHawk|SNR_Mushroomer|SNR_Matryoshka|SNR_Rocket|SNR_Samurai|SNR_SuicideBomber|SNR_Tracker|SNR_Pusher|SNR_WaveCannon|SNR_Magician|SNR_GhostImpostorMirage|SNR_Ruler|SNR_RocketLauncher|SNR_Orpheus|SNR_Tasker|SNR_Kunoichi|SNR_Magaziner|SNR_Thief|SNR_OverKiller|SNR_Jammer|SNR_EvilMoving|SNR_Mafia|SNR_Slugger|SNR_Vampire|SNR_MadKiller|SNR_Madmate|SNR_BlackCat|SNR_Worshiper|SNR_Baketanuki|SNR_MadHawk|SNR_BlackSanta|SNR_MadTeruteru|SNR_NiceGuesser|SNR_Santa|SNR_Seer|SNR_Sheriff|SNR_JumpDancer|SNR_Star|SNR_Stuntman|SNR_Spy|SNR_SpeedBooster|SNR_TaskMaster|SNR_DataHacker|SNR_Door|SNR_ToiletFan|SNR_NiceScientist|SNR_NiceTeleporter|SNR_NiceNekomata|SNR_NiceHawk|SNR_NiceButtoner|SNR_NiceMechanic|SNR_Busker|SNR_HamburgerShop|SNR_Bakery|SNR_Pteranodon|SNR_Bait|SNR_BestFalseAccuser|SNR_VentTrapper|SNR_Phosphorus|SNR_BodyBuilder|SNR_Medium|SNR_MeetingSheriff|SNR_Mayor|SNR_Ubiquitous|SNR_Lighter|SNR_Technician|SNR_Sage|SNR_HomeSecurityGuard|SNR_Clergyman|SNR_VillageChief|SNR_Tenbin|SNR_HinkoHosei|SNR_ClinicalLaboratoryTechnician|SNR_SatsumatoImo|SNR_GhostCrewmateLantern|SNR_RemoteSheriff|SNR_GhostMechanic|SNR_SilverBullet|SNR_Psychometrist|SNR_Ika|SNR_WillMessenger|SNR_ElectionManager|SNR_Moving|SNR_NiceRedRidingHood|SNR_WolfPossessed|SNR_JackalFriends|SNR_Teruteru|SNR_Arsonist|SNR_Vulture|SNR_Opportunist|SNR_Cupid|SNR_SchrodingerCat|SNR_Spelunker|SNR_PavlovDog|SNR_BlackHatHacker|SNR_Freeter|SNR_Maguro|SNR_FalseAccuser|SNR_Onmyoji|SNR_Shikigami|SNR_God|SNR_Safecracker|SNR_Hitman|SNR_Worker|SNR_TrueLover|SNR_Bomber|SNR_Amnesiac|SNR_Lovers|SNR_Moira|SNR_Fukurou|SNR_Sauna|SNR_ThreeLittlePigs|SNR_Frankenstein|SNR_ModifierJumbo|SNR_ModifierGuesser|SNR_ModifierSpelunker|SNR_ModifierHawk|SNR_ModifierWolfPossessed
SNR,SNR_WolfPossessed,狼憑き,60,2,87,SNR_NiceGuesser|SNR_Santa|SNR_Seer|SNR_Sheriff|SNR_JumpDancer|SNR_Star|SNR_Stuntman|SNR_Spy|SNR_SpeedBooster|SNR_TaskMaster|SNR_DataHacker|SNR_Door|SNR_ToiletFan|SNR_NiceScientist|SNR_NiceTeleporter|SNR_NiceNekomata|SNR_NiceHawk|SNR_NiceButtoner|SNR_NiceMechanic|SNR_Busker|SNR_HamburgerShop|SNR_Bakery|SNR_Pteranodon|SNR_Bait|SNR_BestFalseAccuser|SNR_VentTrapper|SNR_Phosphorus|SNR_BodyBuilder|SNR_Medium|SNR_MeetingSheriff|SNR_Mayor|SNR_Lighter|SNR_Technician|SNR_Sage|SNR_HomeSecurityGuard|SNR_Clergyman|SNR_VillageChief|SNR_Tenbin|SNR_HinkoHosei|SNR_ClinicalLaboratoryTechnician|SNR_SatsumatoImo|SNR_GhostCrewmateLantern|SNR_RemoteSheriff|SNR_GhostMechanic|SNR_SilverBullet|SNR_Psychometrist|SNR_Ika|SNR_WillMessenger|SNR_ElectionManager|SNR_Moving|SNR_NiceRedRidingHood|SNR_WolfPossessed|SNR_Teruteru|SNR_Arsonist|SNR_Vulture|SNR_Opportunist|SNR_Cupid|SNR_SchrodingerCat|SNR_Spelunker|SNR_PavlovDog|SNR_BlackHatHacker|SNR_Freeter|SNR_Maguro|SNR_FalseAccuser|SNR_Onmyoji|SNR_Shikigami|SNR_God|SNR_Safecracker|SNR_Hitman|SNR_Worker|SNR_TrueLover|SNR_Bomber|SNR_Amnesiac|SNR_Lovers|SNR_Moira|SNR_Fukurou|SNR_Sauna|SNR_ThreeLittlePigs|SNR_Frankenstein|SNR_MadKiller|SNR_Madmate|SNR_BlackCat|SNR_Worshiper|SNR_Baketanuki|SNR_MadHawk|SNR_BlackSanta|SNR_MadTeruteru
SNR,SNR_HomeSecurityGuard,自宅警備員,60,2,84,SNR_NiceGuesser|SNR_Santa|SNR_Seer|SNR_Sheriff|SNR_JumpDancer|SNR_Star|SNR_Stuntman|SNR_Spy|SNR_SpeedBooster|SNR_TaskMaster|SNR_DataHacker|SNR_Door|SNR_ToiletFan|SNR_NiceScientist|SNR_NiceTeleporter|SNR_NiceNekomata|SNR_NiceHawk|SNR_NiceButtoner|SNR_Busker|SNR_HamburgerShop|SNR_Bakery|SNR_Pteranodon|SNR_Bait|SNR_BestFalseAccuser|SNR_Phosphorus|SNR_BodyBuilder|SNR_Medium|SNR_MeetingSheriff|SNR_Mayor|SNR_Ubiquitous|SNR_Lighter|SNR_Technician|SNR_Sage|SNR_HomeSecurityGuard|SNR_Clergyman|SNR_VillageChief|SNR_Tenbin|SNR_HinkoHosei|SNR_ClinicalLaboratoryTechnician|SNR_SatsumatoImo|SNR_GhostCrewmateLantern|SNR_RemoteSheriff|SNR_GhostMechanic|SNR_Psychometrist|SNR_Ika|SNR_WillMessenger|SNR_ElectionManager|SNR_Moving|SNR_NiceRedRidingHood|SNR_WolfPossessed|SNR_Teruteru|SNR_Arsonist|SNR_Vulture|SNR_Opportunist|SNR_Cupid|SNR_SchrodingerCat|SNR_Spelunker|SNR_PavlovDog|SNR_BlackHatHacker|SNR_Freeter|SNR_Maguro|SNR_FalseAccuser|SNR_Onmyoji|SNR_Shikigami|SNR_God|SNR_Safecracker|SNR_Hitman|SNR_Worker|SNR_TrueLover|SNR_Bomber|SNR_Amnesiac|SNR_Lovers|SNR_Moira|SNR_Sauna|SNR_ThreeLittlePigs|SNR_Frankenstein|SNR_MadKiller|SNR_Madmate|SNR_BlackCat|SNR_Worshiper|SNR_Baketanuki|SNR_MadHawk|SNR_BlackSanta|SNR_MadTeruteru
NOS,NOS_DyingMessage,DyingMessage,60,2,60,NOS_BountyHunter|NOS_Camouflager|NOS_Cleaner|NOS_EvilGuesser|NOS_EvilTrapper|NOS_Jailer|NOS_Morphing|NOS_Painter|NOS_Raider|NOS_Reaper|NOS_Sniper|NOS_Snatcher|NOS_Clog|NOS_Hallucination|NOS_Agent|NOS_Bait|NOS_Comet|NOS_Doctor|NOS_Necromancer|NOS_NiceGuesser|NOS_NiceTrapper|NOS_Justice|NOS_Mayor|NOS_Phosphorus|NOS_Provocateur|NOS_Seer|NOS_Sheriff|NOS_Lumine|NOS_Poltergeist|NOS_Arsonist|NOS_Vulture|NOS_Gambler|NOS_Dancer|NOS_Grudge|NOS_Noiseghost|NOS_Opportunist|NOS_YokaiFox|NOS_ChainShifter|NOS_Paparazzi|NOS_Plague|NOS_Scarlet|NOS_Tyrant|NOS_Vanity|NOS_Madmate|NOS_Jackal|NOS_Sidekick|NOS_Guesser|NOS_Bloody|NOS_TieBreaker|NOS_Lover|NOS_Confused|NOS_Damned|NOS_Disclosure|NOS_ExtraMission|NOS_Avenger|NOS_Obsessional|NOS_Secret|NOS_Trilemma|NOS_DyingMessage|NOS_Nighty
SNR,SNR_Spy,スパイ,60,3,58,SNR_JumpDancer|SNR_Stuntman|SNR_Spy|SNR_SpeedBooster|SNR_TaskMaster|SNR_DataHacker|SNR_Door|SNR_ToiletFan|SNR_NiceScientist|SNR_NiceNekomata|SNR_NiceHawk|SNR_NiceButtoner|SNR_NiceMechanic|SNR_Busker|SNR_HamburgerShop|SNR_Pteranodon|SNR_BestFalseAccuser|SNR_VentTrapper|SNR_Phosphorus|SNR_BodyBuilder|SNR_Medium|SNR_Mayor|SNR_Ubiquitous|SNR_Lighter|SNR_Technician|SNR_Sage|SNR_Clergyman|SNR_VillageChief|SNR_ClinicalLaboratoryTechnician|SNR_GhostCrewmateLantern|SNR_RemoteSheriff|SNR_SilverBullet|SNR_Psychometrist|SNR_Ika|SNR_Moving|SNR_EvilSeer|SNR_EvilSpeedBooster|SNR_EvilHacker|SNR_EvilButtoner|SNR_ShiftActor|SNR_SuicideWisher|SNR_Teleporter|SNR_Revenant|SNR_NekoKabocha|SNR_Finder|SNR_EvilHawk|SNR_Matryoshka|SNR_GhostImpostorMirage|SNR_Tasker|SNR_Slugger|SNR_Teruteru|SNR_God|SNR_Safecracker|SNR_Worker|SNR_ThreeLittlePigs|SNR_Madmate|SNR_MadHawk|SNR_MadTeruteru
TOH,LastImpostor,ラストインポスター,60,2,47,Arsonist|Egoist|Executioner|Jester|Opportunist|PlagueDoctor|SchrodingerCat|Terrorist|Lovers|BountyHunter|EvilHacker|EvilTracker|FireWorks|Insider|Mare|Neko-Kabocha|Penguin|Puppeteer|SerialKiller|ShapeMaster|Sniper|Stealth|TimeThief|Vampire|Warlock|Witch|Mafia|Madmate|MadGuardian|MadSnitch|SidekickMadmate|Bait|Dictator|Doctor|Lighter|Mayor|SabotageMaster|Seer|Sheriff|Snitch|SpeedBooster|Trapper|TimeManager|Jackal|LastImpostor|Watcher|Workhorse
ExR,ExR_SpecialCrew,スペシャルクルー,60,1,46,ExR_Sheriff|ExR_Maintainer|ExR_Watchdog|ExR_Supervisor|ExR_Bodyguard|ExR_Whisper|ExR_TimeMaster|ExR_Agency|ExR_Bakery|ExR_CurseMaker|ExR_Fencer|ExR_Opener|ExR_Carpenter|ExR_Survivor|ExR_Captain|ExR_Photographer|ExR_Delusioner|ExR_Resurrecter|ExR_Gambler|ExR_Moderator|ExR_Psychic|ExR_Bait|ExR_Jailer|ExR_Summoner|ExR_Exorcist|ExR_Lower|ExR_CEO|ExR_Echo|ExR_Merlin|ExR_Hero|ExR_Investigator|ExR_Assistant|ExR_ApprenticeInvestigator|ExR_Buddies|ExR_Lovers|ExR_Supporter|ExR_Guesser|ExR_Mover|ExR_Accelerator|ExR_Skater|ExR_Barter|ExR_Faunus|ExR_Poltergeist|ExR_Shutter|ExR_SpecialCrew|ExR_Inspector
SNR,SNR_BestFalseAccuser,ベスト冤罪ヤー,60,3,30,SNR_JumpDancer|SNR_Stuntman|SNR_Spy|SNR_SpeedBooster|SNR_DataHacker|SNR_Door|SNR_ToiletFan|SNR_NiceScientist|SNR_NiceNekomata|SNR_NiceButtoner|SNR_NiceMechanic|SNR_Busker|SNR_HamburgerShop|SNR_Pteranodon|SNR_BestFalseAccuser|SNR_Medium|SNR_Mayor|SNR_Lighter|SNR_Technician|SNR_Clergyman|SNR_ClinicalLaboratoryTechnician|SNR_GhostCrewmateLantern|SNR_Moving|SNR_Revenant|SNR_GhostImpostorMirage|SNR_God|SNR_Safecracker|SNR_Worker|SNR_ThreeLittlePigs|SNR_Madmate
SNR,SNR_HamburgerShop,ハンバーガー屋,60,3,27,SNR_JumpDancer|SNR_Stuntman|SNR_Spy|SNR_SpeedBooster|SNR_DataHacker|SNR_Door|SNR_NiceScientist|SNR_NiceHawk|SNR_NiceButtoner|SNR_Busker|SNR_HamburgerShop|SNR_Pteranodon|SNR_BestFalseAccuser|SNR_BodyBuilder|SNR_Medium|SNR_Mayor|SNR_Lighter|SNR_Technician|SNR_Clergyman|SNR_ClinicalLaboratoryTechnician|SNR_GhostCrewmateLantern|SNR_Moving|SNR_Revenant|SNR_GhostImpostorMirage|SNR_Safecracker|SNR_Worker|SNR_ThreeLittlePigs
