display_name,count,entries
エンジニア,2,Engineer@Vanilla;TORGMIA_Engineer@TORGMIA
トラッカー,2,Tracker@Vanilla;TORGMIA_Tracker@TORGMIA
探偵,2,Detective@Vanilla;TORGMIA_Detective@TORGMIA
ゲームマスター,2,GM@TOH;TOHK_GM@TOHK
バウンティハンター,4,BountyHunter@TOH;TORGMIA_BountyHunter@TORGMIA;TOHK_BountyHunter@TOHK;NOS_BountyHunter@NOS
イビルハッカー,4,EvilHacker@TOH;SNR_EvilHacker@SNR;TORGMIA_EvilHacker@TORGMIA;TOHK_EvilHacker@TOHK
イビルトラッカー,3,EvilTracker@TOH;TORGMIA_EvilTracker@TORGMIA;TOHK_EvilTracker@TOHK
花火職人,2,FireWorks@TOH;TOHK_FireWorks@TOHK
インサイダー,2,Insider@TOH;TOHK_Insider@TOHK
メアー,2,Mare@TOH;TOHK_Mare@TOHK
ネコカボチャ,4,Neko-Kabocha@TOH;SNR_NekoKabocha@SNR;TORGMIA_NekoKabocha@TORGMIA;TOHK_NekoKabocha@TOHK
ペンギン,3,Penguin@TOH;SNR_Penguin@SNR;TOHK_Penguin@TOHK
パペッティア,2,Puppeteer@TOH;TOHK_Puppeteer@TOHK
シリアルキラー,4,SerialKiller@TOH;SNR_SerialKiller@SNR;TORGMIA_SerialKiller@TORGMIA;TOHK_SerialKiller@TOHK
シェイプマスター,2,ShapeMaster@TOH;TOHK_ShapeMaster@TOHK
スナイパー,3,Sniper@TOH;TOHK_Sniper@TOHK;NOS_Sniper@NOS
ステルス,2,Stealth@TOH;TOHK_Stealth@TOHK
タイムシーフ,2,TimeThief@TOH;TOHK_TimeThief@TOHK
ヴァンパイア,4,Vampire@TOH;TORGMIA_Vampire@TORGMIA;TOHK_Vampire@TOHK;SNR_Vampire@SNR
ウォーロック,3,Warlock@TOH;TORGMIA_Warlock@TORGMIA;TOHK_Warlock@TOHK
魔女,2,Witch@TOH;TORGMIA_Witch@TORGMIA
マフィア,3,Mafia@TOH;TOHK_Mafia@TOHK;SNR_Mafia@SNR
マッドメイト,6,Madmate@TOH;SNR_Madmate@SNR;ExR_Madmate@ExR;TORGMIA_Madmate@TORGMIA;TOHK_Madmate@TOHK;NOS_Madmate@NOS
マッドガーディアン,2,MadGuardian@TOH;TOHK_MadGuardian@TOHK
マッドスニッチ,2,MadSnitch@TOH;TOHK_MadSnitch@TOHK
サイドキックマッドメイト,2,SidekickMadmate@TOH;TOHK_SKMadmate@TOHK
ベイト,6,Bait@TOH;SNR_Bait@SNR;ExR_Bait@ExR;TORGMIA_Bait@TORGMIA;TOHK_Bait@TOHK;NOS_Bait@NOS
ディクテーター,2,Dictator@TOH;TOHK_Dictator@TOHK
ドクター,3,Doctor@TOH;TOHK_Doctor@TOHK;NOS_Doctor@NOS
ライター,4,Lighter@TOH;SNR_Lighter@SNR;TORGMIA_Lighter@TORGMIA;TOHK_Lighter@TOHK
メイヤー,5,Mayor@TOH;SNR_Mayor@SNR;TORGMIA_Mayor@TORGMIA;TOHK_Mayor@TOHK;NOS_Mayor@NOS
サボタージュマスター,2,SabotageMaster@TOH;TOHK_SabotageMaster@TOHK
シーア,4,Seer@TOH;SNR_Seer@SNR;TORGMIA_Seer@TORGMIA;TOHK_Seer@TOHK
シェリフ,6,Sheriff@TOH;SNR_Sheriff@SNR;ExR_Sheriff@ExR;TORGMIA_Sheriff@TORGMIA;TOHK_Sheriff@TOHK;NOS_Sheriff@NOS
スニッチ,3,Snitch@TOH;TORGMIA_Snitch@TORGMIA;TOHK_Snitch@TOHK
スピードブースター,3,SpeedBooster@TOH;SNR_SpeedBooster@SNR;TOHK_SpeedBooster@TOHK
トラッパー,3,Trapper@TOH;TORGMIA_Trapper@TORGMIA;TOHK_Trapper@TOHK
タイムマネージャー,2,TimeManager@TOH;TOHK_TimeManager@TOHK
アーソニスト,5,Arsonist@TOH;SNR_Arsonist@SNR;TORGMIA_Arsonist@TORGMIA;TOHK_Arsonist@TOHK;NOS_Arsonist@NOS
エゴイスト,2,Egoist@TOH;TOHK_Egoist@TOHK
エクスキューショナー,2,Executioner@TOH;TOHK_Executioner@TOHK
ジャッカル,6,Jackal@TOH;SNR_Jackal@SNR;ExR_Jackal@ExR;TORGMIA_Jackal@TORGMIA;TOHK_Jackal@TOHK;NOS_Jackal@NOS
ジェスター,5,Jester@TOH;ExR_Jester@ExR;TORGMIA_Jester@TORGMIA;TOHK_Jester@TOHK;NOS_Jester@NOS
オポチュニスト,5,Opportunist@TOH;SNR_Opportunist@SNR;TORGMIA_Opportunist@TORGMIA;TOHK_Opportunist@TOHK;NOS_Opportunist@NOS
ペスト医師,3,PlagueDoctor@TOH;TORGMIA_PlagueDoctor@TORGMIA;TOHK_PlagueDoctor@TOHK
シュレディンガーの猫,3,SchrodingerCat@TOH;SNR_SchrodingerCat@SNR;TOHK_SchrodingerCat@TOHK
テロリスト,3,Terrorist@TOH;ExR_Terrorist@ExR;TOHK_Terrorist@TOHK
ラストインポスター,2,LastImpostor@TOH;TOHK_LastImpostor@TOHK
ワークホース,2,Workhorse@TOH;TOHK_Workhorse@TOHK
イビルギャンブラー,2,SNR_EvilGambler@SNR;TOHK_Evilgambler@TOHK
イビルゲッサー,3,SNR_EvilGuesser@SNR;TORGMIA_EvilGuesser@TORGMIA;NOS_EvilGuesser@NOS
カモフラージャー,4,SNR_Camouflager@SNR;TORGMIA_Camouflager@TORGMIA;TOHK_Camouflager@TOHK;NOS_Camouflager@NOS
テレポーター,3,SNR_Teleporter@SNR;ExR_Teleporter@ExR;TORGMIA_Teleporter@TORGMIA
ドッペルゲンガー,3,SNR_Doppelganger@SNR;ExR_Doppelganger@ExR;TOHK_DoppelGanger@TOHK
ネクロマンサー,2,SNR_Necromancer@SNR;NOS_Necromancer@NOS
ナイスゲッサー,3,SNR_NiceGuesser@SNR;TORGMIA_NiceGuesser@TORGMIA;NOS_NiceGuesser@NOS
タスクマスター,3,SNR_TaskMaster@SNR;ExR_TaskMaster@ExR;TORGMIA_TaskMaster@TORGMIA
トイレファン,2,SNR_ToiletFan@SNR;TOHK_ToiletFan@TOHK
パン屋,3,SNR_Bakery@SNR;ExR_Bakery@ExR;TOHK_Bakery@TOHK
ホスフォラス,2,SNR_Phosphorus@SNR;NOS_Phosphorus@NOS
ミーディアム,2,SNR_Medium@SNR;TORGMIA_Medium@TORGMIA
