mod,name,display_name,answered_qs,positive_qs,final_candidate_count,hit,finished,exact_result,final_candidates
Vanilla,Crewmate,クルーメイト,15,1,6,True,True,False,Crewmate|Engineer|Scientist|Guardian Angel|Tracker|Detective
Vanilla,Impostor,インポスター,7,0,3,True,True,False,Impostor|Shapeshifter|Phantom
Vanilla,Engineer,エンジニア,15,2,6,True,True,False,Crewmate|Engineer|Scientist|Guardian Angel|Tracker|Detective
Vanilla,Scientist,科学者,12,5,1,True,True,True,Scientist
Vanilla,Guardian Angel,守護天使,10,4,1,True,True,True,Guardian Angel
Vanilla,Shapeshifter,シェイプシフター,7,2,3,True,True,False,Impostor|Shapeshifter|Phantom
Vanilla,Noisemaker,ノイズメーカー,13,4,1,True,True,True,Noisemaker
Vanilla,Tracker,トラッカー,10,3,2,True,True,False,Tracker|Detective
Vanilla,Phantom,ファントム,7,3,3,True,True,False,Impostor|Shapeshifter|Phantom
Vanilla,Detective,探偵,9,5,1,True,True,True,Detective
Vanilla,Viper,ヴァイパー,7,2,1,True,True,False,Viper
TOH,GM,ゲームマスター,60,3,1,True,True,False,GM
TOH,BountyHunter,バウンティハンター,11,6,1,True,True,True,BountyHunter
TOH,EvilHacker,イビルハッカー,10,7,1,True,True,True,EvilHacker
TOH,EvilTracker,イビルトラッカー,13,9,1,True,True,True,EvilTracker
TOH,FireWorks,花火職人,13,5,1,True,True,True,FireWorks
TOH,Insider,インサイダー,11,5,1,True,True,True,Insider
TOH,Mare,メアー,12,5,1,True,True,True,Mare
TOH,Neko-Kabocha,ネコカボチャ,14,4,1,True,True,True,Neko-Kabocha
TOH,Penguin,ペンギン,11,6,1,True,True,True,Penguin
TOH,Puppeteer,パペッティア,13,5,1,True,True,True,Puppeteer
TOH,SerialKiller,シリアルキラー,9,6,1,True,True,True,SerialKiller
TOH,ShapeMaster,シェイプマスター,12,5,1,True,True,True,ShapeMaster
TOH,Sniper,スナイパー,13,6,1,True,True,True,Sniper
TOH,Stealth,ステルス,14,5,1,True,True,True,Stealth
TOH,TimeThief,タイムシーフ,12,5,1,True,True,True,TimeThief
TOH,Vampire,ヴァンパイア,12,7,1,True,True,True,Vampire
TOH,Warlock,ウォーロック,9,5,1,True,True,True,Warlock
TOH,Witch,魔女,11,6,1,True,True,True,Witch
TOH,Mafia,マフィア,12,5,2,True,True,False,FireWorks|Mafia
TOH,Madmate,マッドメイト,12,3,1,True,True,True,Madmate
TOH,MadGuardian,マッドガーディアン,18,3,1,True,True,True,MadGuardian
TOH,MadSnitch,マッドスニッチ,10,3,1,True,True,True,MadSnitch
TOH,SidekickMadmate,サイドキックマッドメイト,15,3,1,True,True,True,SidekickMadmate
TOH,Bait,ベイト,17,4,1,True,True,True,Bait
TOH,Dictator,ディクテーター,13,3,1,True,True,True,Dictator
TOH,Doctor,ドクター,18,3,1,True,True,True,Doctor
TOH,Lighter,ライター,12,4,1,True,True,True,Lighter
TOH,Mayor,メイヤー,33,4,2,True,True,False,Mayor|SabotageMaster
TOH,SabotageMaster,サボタージュマスター,14,4,1,True,True,True,SabotageMaster
TOH,Seer,シーア,13,4,1,True,True,True,Seer
TOH,Sheriff,シェリフ,13,4,1,True,True,True,Sheriff
TOH,Snitch,スニッチ,11,3,1,True,True,True,Snitch
TOH,SpeedBooster,スピードブースター,38,4,1,True,True,True,SpeedBooster
TOH,Trapper,トラッパー,30,5,1,True,True,True,Trapper
TOH,TimeManager,タイムマネージャー,17,5,1,True,True,True,TimeManager
TOH,Arsonist,アーソニスト,12,6,1,True,True,True,Arsonist
TOH,Egoist,エゴイスト,12,5,1,True,True,True,Egoist
TOH,Executioner,エクスキューショナー,11,5,1,True,True,True,Executioner
TOH,Jackal,ジャッカル,12,4,1,True,True,True,Jackal
TOH,Jester,ジェスター,12,4,1,True,True,True,Jester
TOH,Opportunist,オポチュニスト,12,4,1,True,True,True,Opportunist
TOH,PlagueDoctor,ペスト医師,15,4,1,True,True,True,PlagueDoctor
TOH,SchrodingerCat,シュレディンガーの猫,17,4,1,True,True,True,SchrodingerCat
