ratio,name1,display1,mod1,name2,display2,mod2
0.947,BountyHunter,バウンティハンター,TOH,ExR_BountyHunter,バウンティーハンター,ExR
0.923,SNR_TaskMaster,タスクマスター,SNR,TOHK_TaskStar,タスクスター,TOHK
0.909,SNR_Sidekick,サイドキック,SNR,ExR_Psychic,サイキック,ExR
0.909,SNR_Sidekick,サイドキック,SNR,TOHK_Psychic,サイキック,TOHK
0.909,ExR_Psychic,サイキック,ExR,ExR_Sidekick,サイドキック,ExR
0.909,ExR_Psychic,サイキック,ExR,TORGMIA_Sidekick,サイドキック,TORGMIA
0.909,ExR_Psychic,サイキック,ExR,NOS_Sidekick,サイドキック,NOS
0.947,ExR_BountyHunter,バウンティーハンター,ExR,TORGMIA_BountyHunter,バウンティハンター,TORGMIA
0.947,ExR_BountyHunter,バウンティーハンター,ExR,TOHK_BountyHunter,バウンティハンター,TOHK
0.947,ExR_BountyHunter,バウンティーハンター,ExR,NOS_BountyHunter,バウンティハンター,NOS
0.933,ExR_TimeBreaker,タイムブレーカー,ExR,TORGMIA_TieBreaker,タイブレーカー,TORGMIA
0.933,ExR_TimeBreaker,タイムブレーカー,ExR,TOHK_Tiebreaker,タイブレーカー,TOHK
0.909,ExR_Sidekick,サイドキック,ExR,TOHK_Psychic,サイキック,TOHK
0.923,ExR_TaskMaster,タスクマスター,ExR,TOHK_TaskStar,タスクスター,TOHK
0.923,ExR_Missionary,ミッショナリー,ExR,TOHK_Missioneer,ミッショナー,TOHK
0.923,TORGMIA_TaskMaster,タスクマスター,TORGMIA,TOHK_TaskStar,タスクスター,TOHK
0.909,TORGMIA_Sidekick,サイドキック,TORGMIA,TOHK_Psychic,サイキック,TOHK
0.941,TORGMIA_AntiTeleport,アンチテレポーター,TORGMIA,TOHK_AntiReporter,アンチレポーター,TOHK
0.941,TOHK_AntiReporter,アンチレポーター,TOHK,TOHK_AntiTeleporter,アンチテレポーター,TOHK
0.909,TOHK_Psychic,サイキック,TOHK,NOS_Sidekick,サイドキック,NOS
