ratio,name1,display1,mod1,name2,display2,mod2
0.857,BountyHunter,バウンティハンター,TOH,ExR_BountyHunter,バウンティーハンター,ExR
0.857,BountyHunter,バウンティハンター,TOH,NOS_BountyHunter,バウンティハンター,NOS
0.857,EvilHacker,イビルハッカー,TOH,EvilTracker,イビルトラッカー,TOH
0.857,SerialKiller,シリアルキラー,TOH,SNR_SerialKiller,シリアルキラー,SNR
0.857,SpeedBooster,スピードブースター,TOH,SNR_SpeedBooster,スピードブースター,SNR
0.875,SchrodingerCat,シュレディンガーの猫,TOH,SNR_SchrodingerCat,シュレディンガーの猫,SNR
0.867,SNR_EvilGuesser,イビルゲッサー,SNR,NOS_EvilGuesser,イビルゲッサー,NOS
0.889,SNR_EvilSpeedBooster,イビルスピードブースター,SNR,SNR_SpeedBooster,スピードブースター,SNR
0.867,SNR_Camouflager,カモフラージャー,SNR,NOS_Camouflager,カモフラージャー,NOS
0.875,SNR_Teleporter,テレポーター,SNR,SNR_NiceTeleporter,ナイステレポーター,SNR
0.857,SNR_Teleporter,テレポーター,SNR,ExR_Teleporter,テレポーター,ExR
0.875,SNR_Doppelganger,ドッペルゲンガー,SNR,ExR_Doppelganger,ドッペルゲンガー,ExR
0.867,SNR_Necromancer,ネクロマンサー,SNR,NOS_Necromancer,ネクロマンサー,NOS
0.857,SNR_Tracker,追跡者,SNR,SNR_Tasker,タスカー,SNR
0.867,SNR_NiceGuesser,ナイスゲッサー,SNR,NOS_NiceGuesser,ナイスゲッサー,NOS
0.889,SNR_Santa,サンタ,SNR,SNR_Sauna,サウナー,SNR
0.857,SNR_TaskMaster,タスクマスター,SNR,ExR_TaskMaster,タスクマスター,ExR
0.889,SNR_BestFalseAccuser,ベスト冤罪ヤー,SNR,SNR_FalseAccuser,冤罪師,SNR
0.857,SNR_Phosphorus,ホスフォラス,SNR,NOS_Phosphorus,ホスフォラス,NOS
0.889,SNR_Teruteru,てるてる,SNR,SNR_MadTeruteru,マッドてるてる,SNR
0.867,SNR_Opportunist,オポチュニスト,SNR,NOS_Opportunist,オポチュニスト,NOS
0.857,ExR_Hatter,ハッター,ExR,ExR_Shutter,シャッター,ExR
0.875,TORGMIA_Trickster,トリックスター,TORGMIA,TORGMIA_Tracker,トラッカー,TORGMIA
0.889,TORGMIA_Witch,魔女,TORGMIA,TORGMIA_Snitch,スニッチ,TORGMIA
0.865,TORGMIA_EvilWatcher,イビルウォッチャー,TORGMIA,TORGMIA_EvilHacker,イビルハッカー,TORGMIA
0.880,TORGMIA_Mimic,ミミック,TORGMIA,TORGMIA_Mini,ミニ,TORGMIA
0.919,TORGMIA_EvilHacker,イビルハッカー,TORGMIA,TORGMIA_EvilTracker,イビルトラッカー,TORGMIA
0.875,TORGMIA_EvilHacker,イビルハッカー,TORGMIA,TORGMIA_Hacker,ハッカー,TORGMIA
0.882,TORGMIA_EvilTracker,イビルトラッカー,TORGMIA,TORGMIA_Tracker,トラッカー,TORGMIA
0.867,TORGMIA_Trapper,トラッパー,TORGMIA,TORGMIA_Tracker,トラッカー,TORGMIA
0.875,TORGMIA_EvilYasuna,イビルヤスナ,TORGMIA,TORGMIA_Yasuna,ヤスナ,TORGMIA
0.897,TORGMIA_Hacker,ハッカー,TORGMIA,TORGMIA_Tracker,トラッカー,TORGMIA
0.889,TORGMIA_Medic,メディック,TORGMIA,TORGMIA_Medium,ミーディアム,TORGMIA
