Role Crewmate@Vanilla ambiguous with Crewmate|Engineer|Scientist|Guardian Angel|Tracker|Detective -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role Impostor@Vanilla ambiguous with Impostor|Shapeshifter|Phantom -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role Engineer@Vanilla ambiguous with Crewmate|Engineer|Scientist|Guardian Angel|Tracker|Detective -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role Shapeshifter@Vanilla ambiguous with Impostor|Shapeshifter|Phantom -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role Tracker@Vanilla ambiguous with Tracker|Detective -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role Phantom@Vanilla ambiguous with Impostor|Shapeshifter|Phantom -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role Mafia@TOH ambiguous with FireWorks|Mafia -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role Mayor@TOH ambiguous with Mayor|SabotageMaster -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role LastImpostor@TOH ambiguous with Arsonist|Egoist|Executioner|Jester|Opportunist|PlagueDoctor|SchrodingerCat|Terrorist|Lovers|BountyHunter|EvilHacker|EvilTracker|FireWorks|Insider|Mare|Neko-Kabocha|Penguin|Puppeteer|SerialKiller|ShapeMaster|Sniper|Stealth|TimeThief|Vampire|Warlock|Witch|Mafia|Madmate|MadGuardian|MadSnitch|SidekickMadmate|Bait|Dictator|Doctor|Lighter|Mayor|SabotageMaster|Seer|Sheriff|Snitch|SpeedBooster|Trapper|TimeManager|Jackal|LastImpostor|Watcher|Workhorse -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role SNR_EvilGuesser@SNR ambiguous with SNR_EvilGuesser|SNR_NiceGuesser -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role SNR_NiceGuesser@SNR ambiguous with SNR_NiceGuesser|SNR_EvilGuesser -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role SNR_Spy@SNR ambiguous with SNR_JumpDancer|SNR_Stuntman|SNR_Spy|SNR_SpeedBooster|SNR_TaskMaster|SNR_DataHacker|SNR_Door|SNR_ToiletFan|SNR_NiceScientist|SNR_NiceNekomata|SNR_NiceHawk|SNR_NiceButtoner|SNR_NiceMechanic|SNR_Busker|SNR_HamburgerShop|SNR_Pteranodon|SNR_BestFalseAccuser|SNR_VentTrapper|SNR_Phosphorus|SNR_BodyBuilder|SNR_Medium|SNR_Mayor|SNR_Ubiquitous|SNR_Lighter|SNR_Technician|SNR_Sage|SNR_Clergyman|SNR_VillageChief|SNR_ClinicalLaboratoryTechnician|SNR_GhostCrewmateLantern|SNR_RemoteSheriff|SNR_SilverBullet|SNR_Psychometrist|SNR_Ika|SNR_Moving|SNR_EvilSeer|SNR_EvilSpeedBooster|SNR_EvilHacker|SNR_EvilButtoner|SNR_ShiftActor|SNR_SuicideWisher|SNR_Teleporter|SNR_Revenant|SNR_NekoKabocha|SNR_Finder|SNR_EvilHawk|SNR_Matryoshka|SNR_GhostImpostorMirage|SNR_Tasker|SNR_Slugger|SNR_Teruteru|SNR_God|SNR_Safecracker|SNR_Worker|SNR_ThreeLittlePigs|SNR_Madmate|SNR_MadHawk|SNR_MadTeruteru -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role SNR_HamburgerShop@SNR ambiguous with SNR_JumpDancer|SNR_Stuntman|SNR_Spy|SNR_SpeedBooster|SNR_DataHacker|SNR_Door|SNR_NiceScientist|SNR_NiceHawk|SNR_NiceButtoner|SNR_Busker|SNR_HamburgerShop|SNR_Pteranodon|SNR_BestFalseAccuser|SNR_BodyBuilder|SNR_Medium|SNR_Mayor|SNR_Lighter|SNR_Technician|SNR_Clergyman|SNR_ClinicalLaboratoryTechnician|SNR_GhostCrewmateLantern|SNR_Moving|SNR_Revenant|SNR_GhostImpostorMirage|SNR_Safecracker|SNR_Worker|SNR_ThreeLittlePigs -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role SNR_BestFalseAccuser@SNR ambiguous with SNR_JumpDancer|SNR_Stuntman|SNR_Spy|SNR_SpeedBooster|SNR_DataHacker|SNR_Door|SNR_ToiletFan|SNR_NiceScientist|SNR_NiceNekomata|SNR_NiceButtoner|SNR_NiceMechanic|SNR_Busker|SNR_HamburgerShop|SNR_Pteranodon|SNR_BestFalseAccuser|SNR_Medium|SNR_Mayor|SNR_Lighter|SNR_Technician|SNR_Clergyman|SNR_ClinicalLaboratoryTechnician|SNR_GhostCrewmateLantern|SNR_Moving|SNR_Revenant|SNR_GhostImpostorMirage|SNR_God|SNR_Safecracker|SNR_Worker|SNR_ThreeLittlePigs|SNR_Madmate -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role SNR_HomeSecurityGuard@SNR ambiguous with SNR_NiceGuesser|SNR_Santa|SNR_Seer|SNR_Sheriff|SNR_JumpDancer|SNR_Star|SNR_Stuntman|SNR_Spy|SNR_SpeedBooster|SNR_TaskMaster|SNR_DataHacker|SNR_Door|SNR_ToiletFan|SNR_NiceScientist|SNR_NiceTeleporter|SNR_NiceNekomata|SNR_NiceHawk|SNR_NiceButtoner|SNR_Busker|SNR_HamburgerShop|SNR_Bakery|SNR_Pteranodon|SNR_Bait|SNR_BestFalseAccuser|SNR_Phosphorus|SNR_BodyBuilder|SNR_Medium|SNR_MeetingSheriff|SNR_Mayor|SNR_Ubiquitous|SNR_Lighter|SNR_Technician|SNR_Sage|SNR_HomeSecurityGuard|SNR_Clergyman|SNR_VillageChief|SNR_Tenbin|SNR_HinkoHosei|SNR_ClinicalLaboratoryTechnician|SNR_SatsumatoImo|SNR_GhostCrewmateLantern|SNR_RemoteSheriff|SNR_GhostMechanic|SNR_Psychometrist|SNR_Ika|SNR_WillMessenger|SNR_ElectionManager|SNR_Moving|SNR_NiceRedRidingHood|SNR_WolfPossessed|SNR_Teruteru|SNR_Arsonist|SNR_Vulture|SNR_Opportunist|SNR_Cupid|SNR_SchrodingerCat|SNR_Spelunker|SNR_PavlovDog|SNR_BlackHatHacker|SNR_Freeter|SNR_Maguro|SNR_FalseAccuser|SNR_Onmyoji|SNR_Shikigami|SNR_God|SNR_Safecracker|SNR_Hitman|SNR_Worker|SNR_TrueLover|SNR_Bomber|SNR_Amnesiac|SNR_Lovers|SNR_Moira|SNR_Sauna|SNR_ThreeLittlePigs|SNR_Frankenstein|SNR_MadKiller|SNR_Madmate|SNR_BlackCat|SNR_Worshiper|SNR_Baketanuki|SNR_MadHawk|SNR_BlackSanta|SNR_MadTeruteru -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role ExR_Investigator@ExR ambiguous with ExR_Investigator|ExR_ApprenticeInvestigator -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role ExR_ApprenticeInvestigator@ExR ambiguous with ExR_Investigator|ExR_ApprenticeInvestigator -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role TORGMIA_Cleaner@TORGMIA ambiguous with TORGMIA_Cleaner|TORGMIA_Undertaker -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role TORGMIA_Mafioso@TORGMIA ambiguous with TORGMIA_Mafioso|TORGMIA_EvilYasuna -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role TORGMIA_Undertaker@TORGMIA ambiguous with TORGMIA_Cleaner|TORGMIA_Undertaker -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role TORGMIA_Hacker@TORGMIA ambiguous with TORGMIA_Hacker|TORGMIA_Veteran|TORGMIA_NiceWatcher -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role TORGMIA_AntiTeleport@TORGMIA ambiguous with TORGMIA_Teleporter|TORGMIA_AntiTeleport -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role TOHK_ConnectSaver@TOHK ambiguous with TOHK_ConnectSaver|TOHK_Ballooner -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role TOHK_Madmate@TOHK ambiguous with TOHK_Madmate|TOHK_MadTracker -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role TOHK_SpeedBooster@TOHK ambiguous with TOHK_SpeedBooster|TOHK_Express -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role TOHK_Bakery@TOHK ambiguous with TOHK_Bakery|TOHK_News -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role TOHK_Express@TOHK ambiguous with TOHK_SpeedBooster|TOHK_Express|TOHK_SpeedStar -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role TOHK_Lovers@TOHK ambiguous with TOHK_Lovers|TOHK_RedLovers|TOHK_YellowLovers|TOHK_BlueLovers|TOHK_GreenLovers|TOHK_WhiteLovers -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role TOHK_RedLovers@TOHK ambiguous with TOHK_Lovers|TOHK_RedLovers|TOHK_YellowLovers|TOHK_BlueLovers|TOHK_GreenLovers|TOHK_WhiteLovers -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role TOHK_YellowLovers@TOHK ambiguous with TOHK_Lovers|TOHK_RedLovers|TOHK_YellowLovers|TOHK_BlueLovers|TOHK_GreenLovers|TOHK_WhiteLovers -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role TOHK_BlueLovers@TOHK ambiguous with TOHK_Lovers|TOHK_RedLovers|TOHK_YellowLovers|TOHK_BlueLovers|TOHK_GreenLovers|TOHK_WhiteLovers -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role TOHK_GreenLovers@TOHK ambiguous with TOHK_Lovers|TOHK_RedLovers|TOHK_YellowLovers|TOHK_BlueLovers|TOHK_GreenLovers|TOHK_WhiteLovers -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role TOHK_WhiteLovers@TOHK ambiguous with TOHK_Lovers|TOHK_RedLovers|TOHK_YellowLovers|TOHK_BlueLovers|TOHK_GreenLovers|TOHK_WhiteLovers -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role TOHK_Vega@TOHK ambiguous with TOHK_AlienHijack|TOHK_Vega -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
Role TOHK_Moon@TOHK ambiguous with TOHK_Lighter|TOHK_Moon -> consider adding features distinguishing: team, can_kill, uses_vent, meeting_ability
